,season,id,match_between,home_team,away_team,toss_won,decision,1st_inning_score,2nd_inning_score,home_score,away_score,winner,result,venue,home_captain,away_captain,player_of_the_match,super_over,home_overs,home_runs,home_wickets,home_boundaries,away_overs,away_runs,away_wickets,away_boundaries,home_key_batsman,home_key_bowler,away_key_batsman,away_key_bowler,match_days,part_of_the_day
0,2022,1304047,CSK v KKR,CSK,KKR,KKR,BOWL FIRST,131/5,133/4,131/5,133/4,KKR,KKR won by 6 wkts (9b rem),"Wankhede Stadium, Mumbai",Ravindra Jadeja,Shreyas Iyer,Umesh Yadav,False,20.0,131.0,5.0,15.0,18.3,133.0,4.0,15.0,"MS Dhoni,Robin Uthappa","Dwayne Bravo,Mitchell Santner","Ajinkya Rahane,Sam Billings","Umesh Yadav,Varun Chakravarthy",26 March 2022 - night match (20-over match),night
1,2022,1304048,DC v MI,DC,MI,DC,BOWL FIRST,177/5,179/6,179/6,177/5,DC,Capitals won by 4 wkts (10b rem),"Brabourne Stadium, Mumbai",Rishabh Pant,Rohit Sharma,Kuldeep Yadav,False,18.2,179.0,6.0,25.0,20.0,177.0,5.0,24.0,"Lalit Yadav,Axar Patel","Kuldeep Yadav,Khaleel Ahmed","Ishan Kishan,Rohit Sharma","Basil Thampi,Murugan Ashwin",27 March 2022 - day/night match (20-over match),day/night
2,2022,1304049,PBKS v RCB,PBKS,RCB,PBKS,BOWL FIRST,205/2,208/5,208/5,205/2,PBKS,Punjab Kings won by 5 wkts (6b rem),"Dr DY Patil Sports Academy, Navi Mumbai",Mayank Agarwal,Faf du Plessis,Odean Smith,False,19.0,208.0,5.0,25.0,20.0,205.0,2.0,22.0,"Bhanuka Rajapaksa,Shikhar Dhawan","Rahul Chahar,Arshdeep Singh","Faf du Plessis,Virat Kohli","Mohammed Siraj,Harshal Patel",27 March 2022 - night match (20-over match),night
3,2022,1304050,GT v LSG,GT,LSG,GT,BOWL FIRST,158/6,161/5,161/5,158/6,GT,Titans won by 5 wkts (2b rem),"Wankhede Stadium, Mumbai",Hardik Pandya,KL Rahul,Mohammed Shami,False,19.4,161.0,5.0,23.0,20.0,158.0,6.0,22.0,"Rahul Tewatia,Hardik Pandya","Mohammed Shami,Varun Aaron","Deepak Hooda,Ayush Badoni","Dushmantha Chameera,Krunal Pandya",28 March 2022 - night match (20-over match),night
4,2022,1304051,SRH v RR,SRH,RR,SRH,BOWL FIRST,210/6,149/7,149/7,210/6,RR,Royals won by 61 runs,"Maharashtra Cricket Association Stadium, Pune",Kane Williamson,Sanju Samson,Sanju Samson,False,20.0,149.0,7.0,17.0,20.0,210.0,6.0,30.0,"Aiden Markram,Washington Sundar","Umran Malik,T Natarajan","Sanju Samson,Devdutt Padikkal","Yuzvendra Chahal,Prasidh Krishna",29 March 2022 - night match (20-over match),night
5,2022,1304052,RCB v KKR,RCB,KKR,RCB,BOWL FIRST,128/10,132/7,132/7,128/10,RCB,RCB won by 3 wkts (4b rem),"Dr DY Patil Sports Academy, Navi Mumbai",Faf du Plessis,Shreyas Iyer,Wanindu Hasaranga de Silva,False,19.2,132.0,7.0,16.0,18.5,128.0,10.0,18.0,"Sherfane Rutherford,Shahbaz Ahmed","Wanindu Hasaranga de Silva,Akash Deep","Andre Russell,Umesh Yadav","Tim Southee,Umesh Yadav",30 March 2022 - night match (20-over match),night
6,2022,1304053,LSG v CSK,LSG,CSK,LSG,BOWL FIRST,210/7,211/4,211/4,210/7,LSG,Super Giants won by 6 wkts (3b rem),"Brabourne Stadium, Mumbai",KL Rahul,Ravindra Jadeja,Evin Lewis,False,19.3,211.0,4.0,27.0,20.0,210.0,7.0,32.0,"Quinton de Kock,Evin Lewis","Ravi Bishnoi,Avesh Khan","Robin Uthappa,Shivam Dube","Dwaine Pretorius,Dwayne Bravo",31 March 2022 - night match (20-over match),night
7,2022,1304054,KKR v PBKS,KKR,PBKS,KKR,BOWL FIRST,137/10,141/4,141/4,137/10,KKR,KKR won by 6 wkts (33b rem),"Wankhede Stadium, Mumbai",Shreyas Iyer,Mayank Agarwal,Umesh Yadav,False,14.3,141.0,4.0,20.0,18.2,137.0,10.0,19.0,"Andre Russell,Shreyas Iyer","Umesh Yadav,Tim Southee","Bhanuka Rajapaksa,Kagiso Rabada","Rahul Chahar,Kagiso Rabada",1 April 2022 - night match (20-over match),night
8,2022,1304055,MI v RR,MI,RR,MI,BOWL FIRST,193/8,170/8,170/8,193/8,RR,Royals won by 23 runs,"Dr DY Patil Sports Academy, Navi Mumbai",Rohit Sharma,Sanju Samson,Jos Buttler,False,20.0,170.0,8.0,21.0,20.0,193.0,8.0,28.0,"Tilak Varma,Ishan Kishan","Jasprit Bumrah,Tymal Mills","Jos Buttler,Shimron Hetmyer","Yuzvendra Chahal,Navdeep Saini",2 April 2022 - day/night match (20-over match),day/night
9,2022,1304056,GT v DC,GT,DC,DC,BOWL FIRST,171/6,157/9,171/6,157/9,GT,Titans won by 14 runs,"Maharashtra Cricket Association Stadium, Pune",Hardik Pandya,Rishabh Pant,Lockie Ferguson,False,20.0,171.0,6.0,19.0,20.0,157.0,9.0,21.0,"Shubman Gill,Hardik Pandya","Lockie Ferguson,Mohammed Shami","Rishabh Pant,Lalit Yadav","Mustafizur Rahman,Khaleel Ahmed",2 April 2022 - night match (20-over match),night
